Key,File,Type,UsedInMainMenu,NoTranslate,English,Spanish,French,German,Italian,Japanese,Koreana,Polish,Brazilian,Russian,Turkish,Schinese,Tchinese,SpanishMexico

# Asylum Quest Class System - Localization
# Advanced class-based quest system for The Asylum
# Includes Asylum integration localization

quest_start_class_quests,,,,,"Asylum Quest Class System",,,,
quest_AsylumC15_subtitle,,,,,"Asylum Canned Rations 4/14",,,,
quest_AsylumC16,,,,,"The Butcher 16/50",,,,
quest_AsylumC16_desc,,,,,"Prepare chili dogs in the asylum's kitchen. The recipe comes from the facility's original cookbook.",,,,
quest_AsylumC16_subtitle,,,,,"Asylum Cooking 4/12",,,,
quest_AsylumC17,,,,,"The Butcher 17/50",,,,
quest_AsylumC17_desc,,,,,"Gather sugar from the asylum's pantry. The patients received small portions as rewards for good behavior.",,,,
quest_AsylumC17_subtitle,,,,,"Asylum Sugar Supply",,,,
quest_AsylumC18,,,,,"The Butcher 18/50",,,,
quest_AsylumC18_desc,,,,,"Scavenge canned ham from the asylum's emergency supplies. The seals remain intact after all these years.",,,,
quest_AsylumC18_subtitle,,,,,"Asylum Canned Rations 5/14",,,,
quest_AsylumC19,,,,,"The Butcher 19/50",,,,
quest_AsylumC19_desc,,,,,"Cook ham and bean soup in the asylum's cafeteria. This hearty meal once fed hundreds daily.",,,,
quest_AsylumC19_subtitle,,,,,"Asylum Cooking 5/12",,,,
quest_AsylumC20,,,,,"The Butcher 20/50",,,,
quest_AsylumC20_desc,,,,,"Gather canned salmon from the asylum's pantry. The fish was imported weekly before the outbreak.",,,,
quest_AsylumC20_subtitle,,,,,"Asylum Canned Rations 6/14",,,,
quest_AsylumC21,,,,,"The Butcher 21/50",,,,
quest_AsylumC21_desc,,,,,"Prepare salmon croquettes in the asylum's kitchen. A favorite among the staff and patients alike.",,,,
quest_AsylumC21_subtitle,,,,,"Asylum Cooking 6/12",,,,
quest_AsylumC22,,,,,"The Butcher 22/50",,,,
quest_AsylumC22_desc,,,,,"Craft more bowls from the asylum's ceramic workshop. The cafeteria served hundreds of meals daily.",,,,
quest_AsylumC22_subtitle,,,,,"Asylum Dishware",,,,
quest_AsylumC23,,,,,"The Butcher 23/50",,,,
quest_AsylumC23_desc,,,,,"Collect canned tuna from the asylum's storage. These tins bear labels from a world that no longer exists.",,,,
quest_AsylumC23_subtitle,,,,,"Asylum Canned Rations 7/14",,,,
quest_AsylumC24,,,,,"The Butcher 24/50",,,,
quest_AsylumC24_desc,,,,,"Cook tuna casserole in the asylum's ovens. The smell brings back memories of normalcy.",,,,
quest_AsylumC24_subtitle,,,,,"Asylum Cooking 7/12",,,,
quest_AsylumC25,,,,,"The Butcher 25/50",,,,
quest_AsylumC25_desc,,,,,"Find canned chili in the asylum's emergency stockpile. Spicy and filling - perfect for cold nights.",,,,
quest_AsylumC25_subtitle,,,,,"Asylum Canned Rations 8/14",,,,
quest_AsylumC26,,,,,"The Butcher 26/50",,,,
quest_AsylumC26_desc,,,,,"Prepare meat stew in the asylum's kitchen. The recipe was a patient favorite during therapy sessions.",,,,
quest_AsylumC26_subtitle,,,,,"Asylum Cooking 8/12",,,,
quest_AsylumC27,,,,,"The Butcher 27/50",,,,
quest_AsylumC27_desc,,,,,"Scavenge canned pasta from the asylum's pantry. Simple carbohydrates to fuel your survival.",,,,
quest_AsylumC27_subtitle,,,,,"Asylum Canned Rations 9/14",,,,
quest_AsylumC28,,,,,"The Butcher 28/50",,,,
quest_AsylumC28_desc,,,,,"Cook spaghetti in the asylum's kitchen. The pasta nights were once a weekly tradition here.",,,,
quest_AsylumC28_subtitle,,,,,"Asylum Cooking 9/12",,,,
quest_AsylumC29,,,,,"The Butcher 29/50",,,,
quest_AsylumC29_desc,,,,,"Gather candy from the asylum's reward cabinet. The staff used these sweets to motivate patient cooperation.",,,,
quest_AsylumC29_subtitle,,,,,"Asylum Candy Rewards",,,,
quest_AsylumC30,,,,,"The Butcher 30/50",,,,
quest_AsylumC30_desc,,,,,"Gather canned stock from the asylum's culinary stores. The foundation of countless asylum recipes.",,,,
quest_AsylumC30_subtitle,,,,,"Asylum Canned Rations 10/14",,,,
quest_AsylumC31,,,,,"The Butcher 31/50",,,,
quest_AsylumC31_desc,,,,,"Prepare vegetable soup in the asylum's kitchen. This simple broth sustained patients during recovery.",,,,
quest_AsylumC31_subtitle,,,,,"Asylum Cooking 10/12",,,,
quest_AsylumC32,,,,,"The Butcher 32/50",,,,
quest_AsylumC32_desc,,,,,"Find canned corn from the asylum's storage rooms. Golden kernels preserved in time.",,,,
quest_AsylumC32_subtitle,,,,,"Asylum Canned Rations 11/14",,,,
quest_AsylumC33,,,,,"The Butcher 33/50",,,,
quest_AsylumC33_desc,,,,,"Cook corn chowder in the asylum's cafeteria. A creamy comfort food from better days.",,,,
quest_AsylumC33_subtitle,,,,,"Asylum Cooking 11/12",,,,
quest_AsylumC34,,,,,"The Butcher 34/50",,,,
quest_AsylumC34_desc,,,,,"Scavenge canned beans from the asylum's emergency supplies. Protein-rich and shelf-stable.",,,,
quest_AsylumC34_subtitle,,,,,"Asylum Canned Rations 12/14",,,,
quest_AsylumC35,,,,,"The Butcher 35/50",,,,
quest_AsylumC35_desc,,,,,"Prepare baked beans in the asylum's kitchen. The final canned meal recipe from the old world.",,,,
quest_AsylumC35_subtitle,,,,,"Asylum Cooking 12/12",,,,
quest_AsylumC36,,,,,"The Butcher 36/50",,,,
quest_AsylumC36_desc,,,,,"Gather pasta ingredients from the asylum's pantry. Prepare for the facility's signature Italian dishes.",,,,
quest_AsylumC36_subtitle,,,,,"Asylum Pasta Preparation",,,,
quest_AsylumC37,,,,,"The Butcher 37/50",,,,
quest_AsylumC37_desc,,,,,"Cook spaghetti bolognese in the asylum's kitchen. The head chef's specialty before the outbreak.",,,,
quest_AsylumC37_subtitle,,,,,"Asylum Pasta Mastery 1/4",,,,
quest_AsylumC38,,,,,"The Butcher 38/50",,,,
quest_AsylumC38_desc,,,,,"Prepare fettuccine alfredo in the asylum's ovens. Rich, creamy, and deeply satisfying.",,,,
quest_AsylumC38_subtitle,,,,,"Asylum Pasta Mastery 2/4",,,,
quest_AsylumC39,,,,,"The Butcher 39/50",,,,
quest_AsylumC39_desc,,,,,"Cook lasagna in the asylum's industrial kitchen. Layers of pasta, sauce, and cheese - a patient favorite.",,,,
quest_AsylumC39_subtitle,,,,,"Asylum Pasta Mastery 3/4",,,,
quest_AsylumC40,,,,,"The Butcher 40/50",,,,
quest_AsylumC40_desc,,,,,"Prepare carbonara in the asylum's kitchen. The final pasta dish to master.",,,,
quest_AsylumC40_subtitle,,,,,"Asylum Pasta Mastery 4/4",,,,
quest_AsylumC41,,,,,"The Butcher 41/50",,,,
quest_AsylumC41_desc,,,,,"Brew mega crush energy drink in the asylum's lab. The staff used this to power through double shifts.",,,,
quest_AsylumC41_subtitle,,,,,"Asylum Energy Drink",,,,
quest_AsylumC42,,,,,"The Butcher 42/50",,,,
quest_AsylumC42_desc,,,,,"Cook steak and potato meal in the asylum's kitchen. A hearty dish that fills and fortifies.",,,,
quest_AsylumC42_subtitle,,,,,"Asylum Steak Dinner",,,,
quest_AsylumC43,,,,,"The Butcher 43/50",,,,
quest_AsylumC43_desc,,,,,"Prepare Spanish tortilla in the asylum's kitchen. A traditional potato omelette that brings warmth to cold nights.",,,,
quest_AsylumC43_subtitle,,,,,"Asylum Tortilla",,,,
quest_AsylumC44,,,,,"The Butcher 44/50",,,,
quest_AsylumC44_desc,,,,,"Find the last canned provisions from the asylum's deep storage. The final emergency rations.",,,,
quest_AsylumC44_subtitle,,,,,"Asylum Canned Rations 13/14",,,,
quest_AsylumC45,,,,,"The Butcher 45/50",,,,
quest_AsylumC45_desc,,,,,"Cook hunter's meal in the asylum's kitchen. Designed for those who stalk prey from the shadows.",,,,
quest_AsylumC45_subtitle,,,,,"Asylum Hunter's Meal",,,,
quest_AsylumC46,,,,,"The Butcher 46/50",,,,
quest_AsylumC46_desc,,,,,"Gather the final canned goods from the asylum's stockpile. You've mastered every preserved recipe.",,,,
quest_AsylumC46_subtitle,,,,,"Asylum Canned Rations 14/14",,,,
quest_AsylumC47,,,,,"The Butcher 47/50",,,,
quest_AsylumC47_desc,,,,,"Prepare strength meal in the asylum's kitchen. Fortifies the body for brutal combat.",,,,
quest_AsylumC47_subtitle,,,,,"Asylum Strength Meal",,,,
quest_AsylumC48,,,,,"The Butcher 48/50",,,,
quest_AsylumC48_desc,,,,,"Brew Romulan ale in the asylum's laboratory. This otherworldly beer was a secret staff indulgence.",,,,
quest_AsylumC48_subtitle,,,,,"Asylum Romulan Ale",,,,
quest_AsylumC49,,,,,"The Butcher 49/50",,,,
quest_AsylumC49_desc,,,,,"Produce massive quantities of olive oil in the asylum's kitchen. The foundation of serious cooking.",,,,
quest_AsylumC49_subtitle,,,,,"Asylum Oil Production",,,,
quest_AsylumC50,,,,,"The Butcher 50/50",,,,
quest_AsylumC50_desc,,,,,"Gather the finest dishes from the asylum's cookbook. You have mastered every recipe - become the Master Asylum Chef.",,,,
quest_AsylumC50_subtitle,,,,,"Master Asylum Chef",,,,
quest_AsylumH,,,,,"The Hunter",,,,
quest_AsylumH1,,,,,"The Hunter 1/30",,,,
quest_AsylumH1_desc,,,,,"Craft primitive plant fiber armor from asylum grounds. Begin your training as a hunter of the wasteland.",,,,
quest_AsylumH1_subtitle,,,,,"Asylum Hunter Training 1/3",,,,
quest_AsylumH2,,,,,"The Hunter 2/30",,,,
quest_AsylumH2_desc,,,,,"Continue crafting plant fiber protection. The asylum's overgrown gardens provide ample materials.",,,,
quest_AsylumH2_subtitle,,,,,"Asylum Hunter Training 2/3",,,,
quest_AsylumH3,,,,,"The Hunter 3/30",,,,
quest_AsylumH3_desc,,,,,"Complete your primitive armor set. You're ready to begin hunting the asylum's wildlife.",,,,
quest_AsylumH3_subtitle,,,,,"Asylum Hunter Training 3/3",,,,
quest_AsylumH4,,,,,"The Hunter 4/30",,,,
quest_AsylumH4_desc,,,,,"Gather feathers and wood from the asylum grounds. Prepare to craft your first hunting ammunition.",,,,
quest_AsylumH4_subtitle,,,,,"Asylum Hunting Prep 1/2",,,,
quest_AsylumH5,,,,,"The Hunter 5/30",,,,
quest_AsylumH5_desc,,,,,"Craft stone arrows for hunting. The asylum's wildlife won't hunt itself.",,,,
quest_AsylumH5_subtitle,,,,,"Asylum Hunting Prep 2/2",,,,
quest_AsylumH6,,,,,"The Hunter 6/30",,,,
quest_AsylumH6_desc,,,,,"Hunt chickens roaming the asylum's abandoned courtyards. Easy prey for a novice hunter.",,,,
quest_AsylumH6_subtitle,,,,,"Asylum Small Game 1/3",,,,
quest_AsylumH7,,,,,"The Hunter 7/30",,,,
quest_AsylumH7_desc,,,,,"Hunt rabbits in the asylum's overgrown fields. Quick and elusive - test your aim.",,,,
quest_AsylumH7_subtitle,,,,,"Asylum Small Game 2/3",,,,
quest_AsylumH8,,,,,"The Hunter 8/30",,,,
quest_AsylumH8_desc,,,,,"Hunt snakes slithering through the asylum's ruins. Their warning rattles echo through empty halls.",,,,
quest_AsylumH8_subtitle,,,,,"Asylum Small Game 3/3",,,,
quest_AsylumH9,,,,,"The Hunter 9/30",,,,
quest_AsylumH9_desc,,,,,"Gather sewing kits from the asylum's craft room. The patients once used these during therapy sessions.",,,,
quest_AsylumH9_subtitle,,,,,"Asylum Crafting Supplies",,,,
quest_AsylumH10,,,,,"The Hunter 10/30",,,,
quest_AsylumH10_desc,,,,,"Gather more resources from the asylum grounds. Prepare for advanced hunting equipment.",,,,
quest_AsylumH10_subtitle,,,,,"Asylum Equipment Prep 1/2",,,,
quest_AsylumH11,,,,,"The Hunter 11/30",,,,
quest_AsylumH11_desc,,,,,"Craft stone bolts for crossbow hunting. Silent and deadly through the asylum's corridors.",,,,
quest_AsylumH11_subtitle,,,,,"Asylum Equipment Prep 2/2",,,,
quest_AsylumH12,,,,,"The Hunter 12/30",,,,
quest_AsylumH12_desc,,,,,"Hunt deer wandering the asylum's forests. Larger prey requires patience and skill.",,,,
quest_AsylumH12_subtitle,,,,,"Asylum Big Game 1/2",,,,
quest_AsylumH13,,,,,"The Hunter 13/30",,,,
quest_AsylumH13_desc,,,,,"Gather leather and cloth from the asylum's storage. Prepare to craft better protection.",,,,
quest_AsylumH13_subtitle,,,,,"Asylum Armor Materials",,,,
quest_AsylumH14,,,,,"The Hunter 14/30",,,,
quest_AsylumH14_desc,,,,,"Gather light armor components from the asylum's workshops. Time to upgrade your protection.",,,,
quest_AsylumH14_subtitle,,,,,"Asylum Light Armor 1/3",,,,
quest_AsylumH15,,,,,"The Hunter 15/30",,,,
quest_AsylumH15_desc,,,,,"Craft light leather armor in the asylum's workshop. Better protection for dangerous hunts.",,,,
quest_AsylumH15_subtitle,,,,,"Asylum Light Armor 2/3",,,,
quest_AsylumH16,,,,,"The Hunter 16/30",,,,
quest_AsylumH16_desc,,,,,"Equip your light leather armor. Feel the asylum's protection wrap around you.",,,,
quest_AsylumH16_subtitle,,,,,"Asylum Light Armor 3/3",,,,
quest_AsylumH17,,,,,"The Hunter 17/30",,,,
quest_AsylumH17_desc,,,,,"Craft iron arrowheads in the asylum's forge. Sharper and deadlier than stone.",,,,
quest_AsylumH17_subtitle,,,,,"Asylum Advanced Ammo 1/3",,,,
quest_AsylumH18,,,,,"The Hunter 18/30",,,,
quest_AsylumH18_desc,,,,,"Craft iron arrows for hunting. Pierce through tougher hides with ease.",,,,
quest_AsylumH18_subtitle,,,,,"Asylum Advanced Ammo 2/3",,,,
quest_AsylumH19,,,,,"The Hunter 19/30",,,,
quest_AsylumH19_desc,,,,,"Craft iron bolts for your crossbow. Silent death from the asylum's shadows.",,,,
quest_AsylumH19_subtitle,,,,,"Asylum Advanced Ammo 3/3",,,,
quest_AsylumH20,,,,,"The Hunter 20/30",,,,
quest_AsylumH20_desc,,,,,"Hunt wild boars in the asylum's forests. Aggressive prey that fights back.",,,,
quest_AsylumH20_subtitle,,,,,"Asylum Big Game 2/2",,,,
quest_AsylumH21,,,,,"The Hunter 21/30",,,,
quest_AsylumH21_desc,,,,,"Gather materials for medium armor from the asylum's workshops. Prepare for tougher hunts.",,,,
quest_AsylumH21_subtitle,,,,,"Asylum Medium Armor 1/3",,,,
quest_AsylumH22,,,,,"The Hunter 22/30",,,,
quest_AsylumH22_desc,,,,,"Craft medium armor in the asylum's workshop. Reinforced protection for dangerous prey.",,,,
quest_AsylumH22_subtitle,,,,,"Asylum Medium Armor 2/3",,,,
quest_AsylumH23,,,,,"The Hunter 23/30",,,,
quest_AsylumH23_desc,,,,,"Equip your medium armor. The asylum's tougher challenges await.",,,,
quest_AsylumH23_subtitle,,,,,"Asylum Medium Armor 3/3",,,,
quest_AsylumH24,,,,,"The Hunter 24/30",,,,
quest_AsylumH24_desc,,,,,"Hunt coyotes in the asylum's desert regions. Craft a poncho to survive the scorching heat.",,,,
quest_AsylumH24_subtitle,,,,,"Asylum Desert Hunt",,,,
quest_AsylumH25,,,,,"The Hunter 25/30",,,,
quest_AsylumH25_desc,,,,,"Gather heavy armor materials from the asylum's armory. Prepare for the most dangerous hunts.",,,,
quest_AsylumH25_subtitle,,,,,"Asylum Heavy Armor 1/3",,,,
quest_AsylumH26,,,,,"The Hunter 26/30",,,,
quest_AsylumH26_desc,,,,,"Craft heavy armor in the asylum's forge. Maximum protection for apex predators.",,,,
quest_AsylumH26_subtitle,,,,,"Asylum Heavy Armor 2/3",,,,
quest_AsylumH27,,,,,"The Hunter 27/30",,,,
quest_AsylumH27_desc,,,,,"Equip your heavy armor. You're ready to face the asylum's deadliest beasts.",,,,
quest_AsylumH27_subtitle,,,,,"Asylum Heavy Armor 3/3",,,,
quest_AsylumH28,,,,,"The Hunter 28/30",,,,
quest_AsylumH28_desc,,,,,"Hunt mountain lions in the asylum's frozen peaks. Swift and deadly predators.",,,,
quest_AsylumH28_subtitle,,,,,"Asylum Apex Hunt 1/3",,,,
quest_AsylumH29,,,,,"The Hunter 29/30",,,,
quest_AsylumH29_desc,,,,,"Hunt wolves in the asylum's snow-covered forests. Pack hunters that test your skill.",,,,
quest_AsylumH29_subtitle,,,,,"Asylum Apex Hunt 2/3",,,,
quest_AsylumH30,,,,,"The Hunter 30/30",,,,
quest_AsylumH30_desc,,,,,"Hunt bears in the asylum's wilderness. The ultimate test - become the Master Asylum Hunter.",,,,
quest_AsylumH30_subtitle,,,,,"Master Asylum Hunter",,,,
quest_AsylumM,,,,,"Asylum Medic",,,,
quest_AsylumM1,,,,,"Asylum Medic 1/30",,,,
quest_AsylumM1_desc,,,,,"Craft basic bandages in the asylum's medical wing. Begin your training in the twisted healing arts.",,,,
quest_AsylumM1_subtitle,,,,,"Asylum First Aid 1/4",,,,
quest_AsylumM2,,,,,"Asylum Medic 2/30",,,,
quest_AsylumM2_desc,,,,,"Prepare more bandages from the asylum's medical supplies. Wounds are inevitable in this place.",,,,
quest_AsylumM2_subtitle,,,,,"Asylum First Aid 2/4",,,,
quest_AsylumM3,,,,,"Asylum Medic 3/30",,,,
quest_AsylumM3_desc,,,,,"Continue crafting medical supplies. The asylum's infirmary holds all you need.",,,,
quest_AsylumM3_subtitle,,,,,"Asylum First Aid 3/4",,,,
quest_AsylumM4,,,,,"Asylum Medic 4/30",,,,
quest_AsylumM4_desc,,,,,"Complete your basic first aid training. You're ready for more advanced asylum medicine.",,,,
quest_AsylumM4_subtitle,,,,,"Asylum First Aid 4/4",,,,
quest_AsylumM5,,,,,"Asylum Medic 5/30",,,,
quest_AsylumM5_desc,,,,,"Craft medicinal candy from the asylum's pharmacy. The patients received these as rewards.",,,,
quest_AsylumM5_subtitle,,,,,"Asylum Medicine 1/11",,,,
quest_AsylumM6,,,,,"Asylum Medic 6/30",,,,
quest_AsylumM6_desc,,,,,"Prepare more medicinal candy. These sweet remedies mask bitter truths.",,,,
quest_AsylumM6_subtitle,,,,,"Asylum Medicine 2/11",,,,
quest_AsylumM7,,,,,"Asylum Medic 7/30",,,,
quest_AsylumM7_desc,,,,,"Continue crafting medicinal candy. The asylum's pharmacy holds many secrets.",,,,
quest_AsylumM7_subtitle,,,,,"Asylum Medicine 3/11",,,,
quest_AsylumM8,,,,,"Asylum Medic 8/30",,,,
quest_AsylumM8_desc,,,,,"Gather glue from the asylum's supply rooms. Essential for advanced medical preparations.",,,,
quest_AsylumM8_subtitle,,,,,"Asylum Adhesives",,,,
quest_AsylumM9,,,,,"Asylum Medic 9/30",,,,
quest_AsylumM9_desc,,,,,"Craft more medicinal candy. The patients craved these during treatment.",,,,
quest_AsylumM9_subtitle,,,,,"Asylum Medicine 4/11",,,,
quest_AsylumM10,,,,,"Asylum Medic 10/30",,,,
quest_AsylumM10_desc,,,,,"Prepare additional medicinal candy. Each piece contains a fragment of asylum knowledge.",,,,
quest_AsylumM10_subtitle,,,,,"Asylum Medicine 5/11",,,,
quest_AsylumM11,,,,,"Asylum Medic 11/30",,,,
quest_AsylumM11_desc,,,,,"Continue your medicinal candy production. The recipes grow more complex.",,,,
quest_AsylumM11_subtitle,,,,,"Asylum Medicine 6/11",,,,
quest_AsylumM12,,,,,"Asylum Medic 12/30",,,,
quest_AsylumM12_desc,,,,,"Craft antiseptic from the asylum's laboratory. Prevent infection in this contaminated place.",,,,
quest_AsylumM12_subtitle,,,,,"Asylum Antiseptic",,,,
quest_AsylumM13,,,,,"Asylum Medic 13/30",,,,
quest_AsylumM13_desc,,,,,"Prepare more medicinal candy. The asylum's pharmaceutical secrets unfold.",,,,
quest_AsylumM13_subtitle,,,,,"Asylum Medicine 7/11",,,,
quest_AsylumM14,,,,,"Asylum Medic 14/30",,,,
quest_AsylumM14_desc,,,,,"Craft additional medicinal candy. You're mastering the asylum's healing arts.",,,,
quest_AsylumM14_subtitle,,,,,"Asylum Medicine 8/11",,,,
quest_AsylumM15,,,,,"Asylum Medic 15/30",,,,
quest_AsylumM15_desc,,,,,"Continue medicinal candy production. The final recipes await.",,,,
quest_AsylumM15_subtitle,,,,,"Asylum Medicine 9/11",,,,
quest_AsylumM16,,,,,"Asylum Medic 16/30",,,,
quest_AsylumM16_desc,,,,,"Gather gasoline from the asylum's fuel depot. Many medical preparations require this volatile liquid.",,,,
quest_AsylumM16_subtitle,,,,,"Asylum Fuel Supply",,,,
quest_AsylumM17,,,,,"Asylum Medic 17/30",,,,
quest_AsylumM17_desc,,,,,"Craft more medicinal candy. You're approaching mastery of asylum pharmaceuticals.",,,,
quest_AsylumM17_subtitle,,,,,"Asylum Medicine 10/11",,,,
quest_AsylumM18,,,,,"Asylum Medic 18/30",,,,
quest_AsylumM18_desc,,,,,"Complete your medicinal candy training. The final asylum remedies await.",,,,
quest_AsylumM18_subtitle,,,,,"Asylum Medicine 11/11",,,,
quest_AsylumM19,,,,,"Asylum Medic 19/30",,,,
quest_AsylumM19_desc,,,,,"Gather herbal antibiotics from the asylum's greenhouse. Natural medicine from corrupted soil.",,,,
quest_AsylumM19_subtitle,,,,,"Asylum Herbalism",,,,
quest_AsylumM20,,,,,"Asylum Medic 20/30",,,,
quest_AsylumM20_desc,,,,,"Craft mega bandages in the asylum's laboratory. Advanced healing for severe wounds.",,,,
quest_AsylumM20_subtitle,,,,,"Asylum Mega Bandage",,,,
quest_AsylumM21,,,,,"Asylum Medic 21/30",,,,
quest_AsylumM21_desc,,,,,"Prepare natural antibiotics from asylum herbs. Fight infection with nature's twisted gifts.",,,,
quest_AsylumM21_subtitle,,,,,"Asylum Natural Antibiotic",,,,
quest_AsylumM22,,,,,"Asylum Medic 22/30",,,,
quest_AsylumM22_desc,,,,,"Craft vitamins in the asylum's pharmacy. Restore vitality with concentrated nutrients.",,,,
quest_AsylumM22_subtitle,,,,,"Asylum Vitamins",,,,
quest_AsylumM23,,,,,"Asylum Medic 23/30",,,,
quest_AsylumM23_desc,,,,,"Prepare painkillers in the asylum's laboratory. Silence the screaming headaches.",,,,
quest_AsylumM23_subtitle,,,,,"Asylum Painkillers",,,,
quest_AsylumM24,,,,,"Asylum Medic 24/30",,,,
quest_AsylumM24_desc,,,,,"Produce industrial oil in the asylum's workshop. Essential for advanced medical equipment.",,,,
quest_AsylumM24_subtitle,,,,,"Asylum Industrial Oil",,,,
quest_AsylumM25,,,,,"Asylum Medic 25/30",,,,
quest_AsylumM25_desc,,,,,"Craft acid in the asylum's chemistry lab. A powerful solvent for medical applications.",,,,
quest_AsylumM25_subtitle,,,,,"Asylum Acid Production",,,,
quest_AsylumM26,,,,,"Asylum Medic 26/30",,,,
quest_AsylumM26_desc,,,,,"Extract fortbite venom from the asylum's most dangerous specimens. Harness nature's deadliest compounds.",,,,
quest_AsylumM26_subtitle,,,,,"Asylum Venom Extraction",,,,
quest_AsylumM27,,,,,"Asylum Medic 27/30",,,,
quest_AsylumM27_desc,,,,,"Gather gas cans in the asylum's storage areas. Advanced fuel for a corrupted world.",,,,
quest_AsylumM27_subtitle,,,,,"Asylum Bio-Diesel",,,,
quest_AsylumM28,,,,,"Asylum Medic 28/30",,,,
quest_AsylumM28_desc,,,,,"Prepare blood bags in the asylum's medical wing. Life-saving transfusions from questionable sources.",,,,
quest_AsylumM28_subtitle,,,,,"Asylum Blood Transfusion",,,,
quest_AsylumM29,,,,,"Asylum Medic 29/30",,,,
quest_AsylumM29_desc,,,,,"Craft mega first aid kits in the asylum's laboratory. Advanced healing for critical injuries.",,,,
quest_AsylumM29_subtitle,,,,,"Asylum Mega First Aid",,,,
quest_AsylumM30,,,,,"Asylum Medic 30/30",,,,
quest_AsylumM30_desc,,,,,"You have mastered the asylum's twisted medical arts. Create the Omnipanacea - the head physician's ultimate creation - a corrupted miracle cure that heals all ailments at the cost of accepting the asylum's darkness into your soul.",,,,
quest_AsylumM30_subtitle,,,,,"Master Asylum Physician",,,,
quest_AsylumMech,,,,,"The Tinkerer",,,,
quest_AsylumMech1,,,,,"The Tinkerer 1/30",,,,
quest_AsylumMech1_desc,,,,,"Gather wood and nails from the asylum's workshop. Begin your training as an asylum mechanic.",,,,
quest_AsylumMech1_subtitle,,,,,"Asylum Workshop Basics 1/5",,,,
quest_AsylumMech2,,,,,"The Tinkerer 2/30",,,,
quest_AsylumMech2_desc,,,,,"Collect forged iron, mechanical parts, and duct tape. The asylum's machines require constant maintenance.",,,,
quest_AsylumMech2_subtitle,,,,,"Asylum Workshop Basics 2/5",,,,
quest_AsylumMech3,,,,,"The Tinkerer 3/30",,,,
quest_AsylumMech3_desc,,,,,"Craft a basic wrench in the asylum's workshop. Your first tool for fixing the facility's machinery.",,,,
quest_AsylumMech3_subtitle,,,,,"Asylum Workshop Basics 3/5",,,,
quest_AsylumMech4,,,,,"The Tinkerer 4/30",,,,
quest_AsylumMech4_desc,,,,,"Gather more forged iron and mechanical parts. The asylum's equipment demands quality materials.",,,,
quest_AsylumMech4_subtitle,,,,,"Asylum Workshop Basics 4/5",,,,
quest_AsylumMech5,,,,,"The Tinkerer 5/30",,,,
quest_AsylumMech5_desc,,,,,"Craft a workbench in the asylum's workshop. Your foundation for advanced mechanical work.",,,,
quest_AsylumMech5_subtitle,,,,,"Asylum Workshop Basics 5/5",,,,
quest_AsylumMech6,,,,,"The Tinkerer 6/30",,,,
quest_AsylumMech6_desc,,,,,"Gather scrap polymers from the asylum's storage. Essential materials for your toolbox.",,,,
quest_AsylumMech6_subtitle,,,,,"Asylum Toolbox 1/11",,,,
quest_AsylumMech7,,,,,"The Tinkerer 7/30",,,,
quest_AsylumMech7_desc,,,,,"Collect metal pipes from the asylum's plumbing system. The facility's infrastructure holds treasures.",,,,
quest_AsylumMech7_subtitle,,,,,"Asylum Toolbox 2/11",,,,
quest_AsylumMech8,,,,,"The Tinkerer 8/30",,,,
quest_AsylumMech8_desc,,,,,"Gather mechanical parts from the asylum's machinery. Salvage what you can from broken equipment.",,,,
quest_AsylumMech8_subtitle,,,,,"Asylum Toolbox 3/11",,,,
quest_AsylumMech9,,,,,"The Tinkerer 9/30",,,,
quest_AsylumMech9_desc,,,,,"Collect electric parts from the asylum's electrical systems. Power flows through these components.",,,,
quest_AsylumMech9_subtitle,,,,,"Asylum Toolbox 4/11",,,,
quest_AsylumMech10,,,,,"The Tinkerer 10/30",,,,
quest_AsylumMech10_desc,,,,,"Gather springs from the asylum's old beds and equipment. Tension and release - the asylum's rhythm.",,,,
quest_AsylumMech10_subtitle,,,,,"Asylum Toolbox 5/11",,,,
quest_AsylumMech11,,,,,"The Tinkerer 11/30",,,,
quest_AsylumMech11_desc,,,,,"Collect oil from the asylum's maintenance depot. Keep the machines running smoothly.",,,,
quest_AsylumMech11_subtitle,,,,,"Asylum Toolbox 6/11",,,,
quest_AsylumMech12,,,,,"The Tinkerer 12/30",,,,
quest_AsylumMech12_desc,,,,,"Gather headlights from the asylum's vehicle bay. Illuminate the darkness ahead.",,,,
quest_AsylumMech12_subtitle,,,,,"Asylum Toolbox 7/11",,,,
quest_AsylumMech13,,,,,"The Tinkerer 13/30",,,,
quest_AsylumMech13_desc,,,,,"Collect forged iron from the asylum's forge. The foundation of all mechanical work.",,,,
quest_AsylumMech13_subtitle,,,,,"Asylum Toolbox 8/11",,,,
quest_AsylumMech14,,,,,"The Tinkerer 14/30",,,,
quest_AsylumMech14_desc,,,,,"Gather duct tape from the asylum's supply rooms. The mechanic's universal solution.",,,,
quest_AsylumMech14_subtitle,,,,,"Asylum Toolbox 9/11",,,,
quest_AsylumMech15,,,,,"The Tinkerer 15/30",,,,
quest_AsylumMech15_desc,,,,,"Craft flashlights in the asylum's workshop. Light your way through the facility's dark corners.",,,,
quest_AsylumMech15_subtitle,,,,,"Asylum Toolbox 10/11",,,,
quest_AsylumMech16,,,,,"The Tinkerer 16/30",,,,
