Key,File,Type,english
drinkSVETGIceTea,,,[DEB887]Asylum Iced Tea[-]
drinkSVETGIceTeaDesc,,,[DEB887]Refreshing iced tea[-] chilled in the [8B0000]Asylum's bar[-]. The [FFAA00]perfect temperature[-] provides [AA0000]relief[-] from the [00FF00]oppressive atmosphere[-].\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGJTKePartyPunch,,,[FF1493]Berserker's Brew[-]
drinkSVETGJTKePartyPunchDesc,,,[FF1493]Violent cocktail[-] mixed in the [8B0000]Asylum's recreation room[-]. The [FFAA00]explosive flavors[-] unleash [AA0000]uncontrollable rage[-] and [00FF00]devastating strength[-].\n\n[32CD32]Increases Melee Damage by 100%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGJensColdBrew,,,[8B4513]Medic's Morning Cure[-]
drinkSVETGJensColdBrewDesc,,,[8B4513]Medicinal cold brew[-] prepared in the [8B0000]Asylum's infirmary[-]. The [FFAA00]healing properties[-] cure [AA0000]exhaustion[-] and [00FF00]boost immunity[-].\n\n[32CD32]Cures Fatigue and increases Disease Resistance by 500%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGJivaiiRocketFuel,,,[FF4500]Astronaut's Fuel[-]
drinkSVETGJivaiiRocketFuelDesc,,,"[FF4500]Explosive cocktail[-] engineered in the [8B0000]Asylum's laboratory[-]. The [FFAA00]volatile mixture[-] grants [AA0000]rocket-powered jumps[-] but [00FF00]handle with care[-].\n\n[32CD32]Increases Jump Height by 250%[-]\n[FF0000]Careful, might break your leg[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]"
drinkSVETGLocaCona,,,[8B4513]Asylum Cola[-]
drinkSVETGLocaConaDesc,,,[8B4513]Classic cola drink[-] from the [8B0000]Asylum's vending machines[-]. The [FFAA00]familiar taste[-] and [AA0000]dark sweetness[-] provide [00FF00]comfort to all[-].\n\n[AAAAAA]Found: Looting[-]
drinkSVETGLykensRedemption,,,[8B4513]Warden's Redemption[-]
drinkSVETGLykensRedemptionDesc,,,[8B4513]Dark cocktail[-] served in the [8B0000]Asylum's recreation room[-]. The [FFAA00]complex flavors[-] help [AA0000]forgotten souls[-] find [00FF00]their way back[-].\n\n[32CD32]Increases loot stage by 10 & 20%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGMallfakasFavourite,,,[8B0000]Gunslinger's Brew[-]
drinkSVETGMallfakasFavouriteDesc,,,[8B0000]Deadly cocktail[-] favored by [8B0000]Asylum guards[-]. The [FFAA00]volatile mixture[-] sharpens [AA0000]deadly aim[-] and [00FF00]trigger discipline[-].\n\n[32CD32]Increases Gun Damage by 100%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGMarkosBane,,,[8B0000]Marksman's Madness[-]
drinkSVETGMarkosBaneDesc,,,[8B0000]Potent cocktail[-] brewed in the [8B0000]Asylum's laboratory[-]. The [FFAA00]volatile mixture[-] sharpens [AA0000]deadly precision[-] but [00FF00]at what cost[-]?\n\n[32CD32]Increases ranged damage by 80% & EXP gain by 10%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGMilk,,,[F5F5F5]Asylum Soy Milk[-]
drinkSVETGMilkDesc,,,[F5F5F5]Creamy soy milk[-] produced in the [8B0000]Asylum's kitchen[-]. Made from [FFAA00]fermented soybeans[-] and [AA0000]mysterious ingredients[-] for [00FF00]enhanced nutrition[-].\n\n[AAAAAA]Crafted in: Stove[-]
drinkSVETGMintTea,,,[98FB98]Asylum Mint Tea[-]
drinkSVETGMintTeaDesc,,,[98FB98]Soothing mint tea[-] steeped in the [8B0000]Asylum's kitchen[-]. The [FFAA00]cooling herbs[-] help [AA0000]calm troubled minds[-] and [00FF00]ease anxiety[-].\n\n[AAAAAA]Crafted in: Stove / Bar Counter[-]
drinkSVETGOrangeJuice,,,[FFA500]Asylum Orange Juice[-]
drinkSVETGOrangeJuiceDesc,,,[FFA500]Fresh orange juice[-] squeezed in the [8B0000]Asylum's bar[-]. The [FFAA00]citrus tang[-] awakens [AA0000]forgotten memories[-] of [00FF00]brighter days[-].\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGPineAppleJuice,,,[FFD700]Asylum Pineapple Juice[-]
drinkSVETGPineAppleJuiceDesc,,,[FFD700]Tropical pineapple juice[-] from the [8B0000]Asylum's greenhouse[-]. The [FFAA00]exotic sweetness[-] transports you [AA0000]far from these walls[-] to [00FF00]paradise lost[-].\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGRum,,,[8B4513]Asylum Rum[-]
drinkSVETGRumDesc,,,[8B4513]Dark rum[-] distilled in the [8B0000]Asylum's cellar[-]. The [FFAA00]smooth burn[-] carries [AA0000]tales of the sea[-] and [00FF00]forgotten adventures[-].\n\n[AAAAAA]Crafted in: Fermenting Barrel[-]
drinkSVETGSagesSingularityCocktail,,,[FFD700]Architect's Vision[-]
drinkSVETGSagesSingularityCocktailDesc,,,[FFD700]Inspiring cocktail[-] crafted in the [8B0000]Asylum's bar[-]. The [FFAA00]complex blend[-] awakens [AA0000]creative genius[-] and [00FF00]building mastery[-].\n\n[32CD32]Enhances construction abilities[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGSaksSpecialBrew,,,[8B0000]Pyromaniac's Remedy[-]
drinkSVETGSaksSpecialBrewDesc,,,[8B0000]Volatile cocktail[-] mixed in the [8B0000]Asylum's laboratory[-]. The [FFAA00]explosive ingredients[-] cure [AA0000]all ailments[-] through [00FF00]chemical chaos[-].\n\n[32CD32]Cures multiple conditions[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGScriptsMoistElixir,,,[87CEEB]Miner's Elixir[-]
drinkSVETGScriptsMoistElixirDesc,,,"[87CEEB]Hydrating cocktail[-] brewed in the [8B0000]Asylum's workshop[-]. The [FFAA00]moisture-rich blend[-] enhances [AA0000]mining efficiency[-] and [00FF00]physical endurance[-].\n\n[32CD32]Increase wood, ore and stone harvest by 60% & Stamina by 50[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]"
drinkSVETGSixDown,,,[32CD32]Asylum Energy Drink[-]
drinkSVETGSixDownDesc,,,[32CD32]Energizing beverage[-] from the [8B0000]Asylum's vending machines[-]. The [FFAA00]familiar taste[-] and [AA0000]caffeine boost[-] keep [00FF00]night shift workers[-] alert.\n\n[AAAAAA]Found: Looting[-]
drinkSVETGSteensBane,,,[FF69B4]Angel's Flight[-]
drinkSVETGSteensBaneDesc,,,[FF69B4]Ethereal cocktail[-] mixed in the [8B0000]Asylum's tower[-]. The [FFAA00]heavenly blend[-] grants [AA0000]supernatural leaping[-] ability to [00FF00]soar like angels[-].\n\n[32CD32]Increases Jump Strength by 200%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGTequila,,,[F0E68C]Asylum Tequila[-]
drinkSVETGTequilaDesc,,,[F0E68C]Golden tequila[-] aged in the [8B0000]Asylum's barrels[-]. The [FFAA00]fiery spirit[-] awakens [AA0000]primal instincts[-] and [00FF00]wild courage[-].\n\n[AAAAAA]Crafted in: Fermenting Barrel[-]
drinkSVETGTripleSec,,,[FFA500]Asylum Triple Sec[-]
drinkSVETGTripleSecDesc,,,[FFA500]Orange liqueur[-] distilled in the [8B0000]Asylum's laboratory[-]. The [FFAA00]sweet citrus[-] masks the [AA0000]bitter truth[-] of [00FF00]what lies beneath[-].\n\n[AAAAAA]Crafted in: Fermenting Barrel[-]
drinkSVETGValleyDed,,,[FF0000]Asylum Gaming Fuel[-]
drinkSVETGValleyDedDesc,,,[FF0000]High-caffeine energy drink[-] from the [8B0000]Asylum's recreation room[-]. The [FFAA00]intense formula[-] kept [AA0000]gamers alert[-] during [00FF00]marathon sessions[-].\n\n[AAAAAA]Found: Looting[-]
drinkSVETGVodka,,,[E6E6FA]Asylum Vodka[-]
drinkSVETGVodkaDesc,,,[E6E6FA]Crystal clear vodka[-] distilled in the [8B0000]Asylum's laboratory[-]. The [FFAA00]pure spirit[-] burns away [AA0000]painful memories[-] and [00FF00]numbs the soul[-].\n\n[AAAAAA]Crafted in: Fermenting Barrel[-]
drinkSVETGWhiskey,,,[D2691E]Asylum Whiskey[-]
drinkSVETGWhiskeyDesc,,,[D2691E]Aged whiskey[-] matured in the [8B0000]Asylum's oak barrels[-]. The [FFAA00]rich complexity[-] tells [AA0000]stories of time[-] and [00FF00]patient suffering[-].\n\n[AAAAAA]Crafted in: Fermenting Barrel[-]
drinkSVETGWhiskeysWhiskey,,,[D2691E]Crusher's Elixir[-]
drinkSVETGWhiskeysWhiskeyDesc,,,[D2691E]Enhanced whiskey[-] distilled in the [8B0000]Asylum's laboratory[-]. The [FFAA00]potent blend[-] grants [AA0000]supernatural strength[-] to [00FF00]crush stone with bare hands[-].\n\n[32CD32]Enhances mining abilities[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGWolfOnTheIce,,,[E0FFFF]Predator's Silence[-]
drinkSVETGWolfOnTheIceDesc,,,[E0FFFF]Chilled cocktail[-] served in the [8B0000]Asylum's shadows[-]. The [FFAA00]icy blend[-] awakens [AA0000]primal instincts[-] for [00FF00]silent hunting[-].\n\n[32CD32]Increases sneak attack damage by 100%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGXcalibersQuest,,,[FF69B4]Warrior's Resolve[-]
drinkSVETGXcalibersQuestDesc,,,[FF69B4]Pink warrior's drink[-] crafted in the [8B0000]Asylum's bar[-]. The [FFAA00]vibrant color[-] masks [AA0000]powerful fortification[-] for [00FF00]battle-hardened souls[-].\n\n[32CD32]Increases health by 30 & resistance by 60%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGZanesRedemption,,,[E0FFFF]Scavenger's Fortune[-]
drinkSVETGZanesRedemptionDesc,,,[E0FFFF]Lucky cocktail[-] blessed in the [8B0000]Asylum's chapel[-]. The [FFAA00]mystical ingredients[-] guide you to [AA0000]hidden treasures[-] and [00FF00]rare finds[-].\n\n[32CD32]Increases loot stage by 30 & 30%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkTeleportToBackpack,,,Blood Memory Serum (Red)
drinkTeleportToBackpackDesc,,,A [FF0000]crimson elixir[-] distilled from the final thoughts of the dying. Creates a horrifying connection to your lost possessions.
drinkTeleportToBedroll,,,Nightmare Draught (Purple)
drinkTeleportToBedrollDesc,,,A [8B00FF]viscous purple liquid[-] extracted from catatonic patients' dreams. Tears your consciousness from your body and transports you to your bedroll.
drinkTeleportToLandClaim,,,Soul Anchor Tonic (Pink)
drinkTeleportToLandClaimDesc,,,A [FF00C9]sickly pink fluid[-] that reeks of formaldehyde and despair. Binds your essence to your claimed territory.
foodCanSVETGBoxOfCereal,,,[DEB887]Asylum Cereal Box[-]
foodCanSVETGBoxOfCerealDesc,,,[DEB887]Fortified breakfast cereal[-] stored in the [8B0000]Asylum's pantry[-]. The [FFAA00]sweet flakes[-] provided [AA0000]morning comfort[-] to [00FF00]patients and staff[-].\n\n[AAAAAA]Found: Looting[-]
foodCanSVETGCoconutCream,,,[F5F5DC]Asylum Coconut Cream[-]
foodCanSVETGCoconutCreamDesc,,,[F5F5DC]Rich coconut cream[-] preserved in the [8B0000]Asylum's pantry[-]. The [FFAA00]tropical richness[-] brings [AA0000]exotic flavors[-] to [00FF00]forgotten recipes[-].\n\n[AAAAAA]Found: Looting[-]
foodCropSVETGApple,,,[FF69B4]Asylum Apple[-]
foodCropSVETGAppleDesc,,,"[FF69B4]Crisp, sweet apple[-] from the [8B0000]Asylum's orchard[-]. The [FFAA00]perfect skin[-] conceals [AA0000]forbidden knowledge[-] of the [00FF00]tree of temptation[-].\n\n[AAAAAA]Found: Farming[-]"
foodCropSVETGCabbage,,,[90EE90]Asylum Cabbage[-]
foodCropSVETGCabbageDesc,,,"[90EE90]Dense, leafy cabbage[-] grown in the [8B0000]Asylum's greenhouse[-]. The [AA0000]contaminated soil[-] has given it an [FFAA00]unusual crunch[-] and [00FF00]enhanced nutrients[-].\n\n[AAAAAA]Found: Farming[-]"
foodCropSVETGLime,,,[32CD32]Asylum Lime[-]
foodCropSVETGLimeDesc,,,[32CD32]Bright green citrus[-] from the [8B0000]Asylum's orchard[-]. The [FFAA00]acidic bite[-] has been [AA0000]intensified[-] by the facility's [00FF00]experimental fertilizers[-].\n\n[AAAAAA]Found: Farming[-]
foodCropSVETGMintLeaves,,,[98FB98]Asylum Mint Leaves[-]
foodCropSVETGMintLeavesDesc,,,[98FB98]Aromatic mint[-] that grew wild in the [8B0000]Asylum's abandoned gardens[-]. The [FFAA00]cooling sensation[-] helps [AA0000]calm the mind[-] after [00FF00]traumatic experiences[-].\n\n[AAAAAA]Found: Farming[-]
foodCropSVETGOlives,,,[808000]Asylum Olives[-]
foodCropSVETGOlivesDesc,,,[808000]Bitter olives[-] from the [8B0000]Asylum's Mediterranean garden[-]. Their [FFAA00]sharp taste[-] reflects the [AA0000]harsh realities[-] of life within these [00FF00]cursed walls[-].\n\n[AAAAAA]Found: Farming[-]
foodCropSVETGOnion,,,[F5DEB3]Asylum Onion[-]
foodCropSVETGOnionDesc,,,"[F5DEB3]Layered onion[-] from the [8B0000]Asylum's root cellar[-]. The [FFAA00]pungent aroma[-] brings [AA0000]tears to your eyes[-], just like the [00FF00]memories of this place[-].\n\n[AAAAAA]Found: Farming[-]"
foodCropSVETGOrange,,,[FFA500]Asylum Orange[-]
foodCropSVETGOrangeDesc,,,[FFA500]Bright orange citrus[-] from the [8B0000]Asylum's grove[-]. The [FFAA00]sweet-tart flavor[-] brings [AA0000]bittersweet memories[-] of [00FF00]better times[-].\n\n[AAAAAA]Found: Farming[-]
foodCropSVETGPaprika,,,[FF4500]Asylum Red Peppers[-]
foodCropSVETGPaprikaDesc,,,[FF4500]Vibrant red peppers[-] cultivated in the [8B0000]Asylum's greenhouse[-]. Their [FFAA00]fiery color[-] matches the [AA0000]burning passion[-] of the [00FF00]patients who tended them[-].\n\n[AAAAAA]Found: Farming[-]
foodCropSVETGPineapple,,,[FFD700]Asylum Pineapple[-]
foodCropSVETGPineappleDesc,,,"[FFD700]Exotic pineapple[-] grown in the [8B0000]Asylum's tropical greenhouse[-]. The [FFAA00]spiky exterior[-] hides [AA0000]sweet secrets[-] within, much like the [00FF00]facility itself[-].\n\n[AAAAAA]Found: Farming[-]"
foodCropSVETGRedChilli,,,[FF0000]Asylum Chili Peppers[-]
foodCropSVETGRedChilliDesc,,,[FF0000]Blazing hot chilies[-] grown in the [8B0000]Asylum's experimental garden[-]. The [FFAA00]intense heat[-] mirrors the [AA0000]burning rage[-] of the [00FF00]patients who cultivated them[-].\n\n[AAAAAA]Found: Farming[-]
foodCropSVETGRice,,,[F5F5DC]Asylum Rice[-]
foodCropSVETGRiceDesc,,,[F5F5DC]Premium rice[-] stored in the [8B0000]Asylum's pantry[-]. These [FFAA00]ancient grains[-] have been [AA0000]perfectly preserved[-] for [00FF00]decades of sustenance[-].\n\n[AAAAAA]Found: Farming[-]
foodCropSVETGSoyBeans,,,[DEB887]Asylum Soybeans[-]
foodCropSVETGSoyBeansDesc,,,[DEB887]Protein-rich soybeans[-] from the [8B0000]Asylum's fields[-]. These [FFAA00]versatile legumes[-] were a [AA0000]staple food[-] for the [00FF00]facility's inhabitants[-].\n\n[AAAAAA]Found: Farming[-]
foodCropSVETGTeaBag,,,[8B4513]Asylum Tea Bag[-]
foodCropSVETGTeaBagDesc,,,"[8B4513]Mysterious tea bag[-] found in the [8B0000]Asylum's pantry[-]. The [FFAA00]origin is unclear[-], but the [AA0000]aroma suggests[-] it's [00FF00]still good[-].\n\n[AAAAAA]Found: Looting[-]"
foodCropSVETGTomato,,,[FF6347]Asylum Tomato[-]
foodCropSVETGTomatoDesc,,,"[FF6347]Plump, juicy tomato[-] from the [8B0000]Asylum's greenhouse[-]. The [FFAA00]deep red color[-] reminds you of [AA0000]things better left forgotten[-], but the [00FF00]flavor is divine[-].\n\n[AAAAAA]Found: Farming[-]"
foodSVETGBagOfChips,,,[FFD700]Asylum Potato Chips[-]
foodSVETGBagOfChipsDesc,,,[FFD700]Crispy potato chips[-] from the [8B0000]Asylum's vending machines[-]. The [FFAA00]salty crunch[-] provides [AA0000]guilty pleasure[-] during [00FF00]stressful times[-].\n\n[AAAAAA]Found: Looting[-]
foodSVETGBread,,,[DEB887]Asylum Fresh Bread[-]
foodSVETGBreadDesc,,,"[DEB887]Warm, fresh bread[-] baked in the [8B0000]Asylum's oven[-]. The [FFAA00]comforting aroma[-] filled the [AA0000]corridors[-] with [00FF00]hope and sustenance[-].\n\n[AAAAAA]Crafted in: Stove[-]"
foodSVETGBruschetta,,,[FF6347]Asylum Bruschetta[-]
foodSVETGBruschettaDesc,,,[FF6347]Italian appetizer[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]grilled bread[-] topped with [AA0000]fresh tomatoes[-] brings [00FF00]Mediterranean sunshine[-] indoors.\n\n[AAAAAA]Crafted in: Cutting Board[-]
foodSVETGBurgerAndFries,,,[8B4513]Asylum Burger & Fries[-]
foodSVETGBurgerAndFriesDesc,,,[8B4513]Classic comfort meal[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]juicy patty[-] and [AA0000]golden fries[-] provide [00FF00]familiar comfort[-] in unfamiliar times.\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGCabbageLeaves,,,[90EE90]Asylum Cabbage Leaves[-]
foodSVETGCabbageLeavesDesc,,,[90EE90]Fresh cabbage leaves[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]crisp leaves[-] are perfect for [AA0000]wrapping[-] or [00FF00]salad preparation[-].\n\n[AAAAAA]Crafted in: Cutting Board[-]
foodSVETGCandyBag,,,[FF69B4]Asylum Candy Bag[-]
foodSVETGCandyBagDesc,,,[FF69B4]Colorful candy assortment[-] from the [8B0000]Asylum's reward system[-]. The [FFAA00]sweet treats[-] were given to [AA0000]well-behaved patients[-] for [00FF00]good behavior[-].\n\n[AAAAAA]Found: Looting[-]
foodSVETGCereal,,,[DEB887]Asylum Cereal Bowl[-]
foodSVETGCerealDesc,,,[DEB887]Morning comfort food[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]crunchy cereal[-] and [AA0000]creamy milk[-] start the day with [00FF00]familiar normalcy[-].\n\n[AAAAAA]Crafted in: Cutting Board[-]
foodSVETGCheese,,,[FFFF99]Asylum Cheese[-]
foodSVETGCheeseDesc,,,[FFFF99]Aged cheese[-] from the [8B0000]Asylum's dairy[-]. The [FFAA00]complex flavors[-] developed in the [AA0000]dark cellars[-] create a [00FF00]hauntingly delicious[-] taste.\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGChocolate,,,[8B4513]Asylum Chocolate Bar[-]
foodSVETGChocolateDesc,,,[8B4513]Rich chocolate bar[-] from the [8B0000]Asylum's commissary[-]. The [FFAA00]sweet indulgence[-] brings [AA0000]moments of joy[-] to [00FF00]troubled souls[-].\n\n[AAAAAA]Found: Looting[-]
foodSVETGCookedBacon,,,[8B4513]Asylum Cooked Bacon[-]
foodSVETGCookedBaconDesc,,,[8B4513]Perfectly crispy bacon[-] cooked in the [8B0000]Asylum's kitchen[-]. The [FFAA00]salty perfection[-] brings [AA0000]forbidden pleasure[-] to [00FF00]restricted diets[-].\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGCookedRice,,,[F5F5DC]Asylum Cooked Rice[-]
foodSVETGCookedRiceDesc,,,[F5F5DC]Perfectly steamed rice[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]fluffy grains[-] provide [AA0000]simple sustenance[-] and [00FF00]comforting familiarity[-].\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGCroissant,,,[FFD700]Asylum Croissant[-]
foodSVETGCroissantDesc,,,"[FFD700]Flaky, buttery pastry[-] baked in the [8B0000]Asylum's oven[-]. The [FFAA00]golden layers[-] melt in your mouth, bringing [AA0000]memories of Paris[-] to [00FF00]forgotten souls[-].\n\n[AAAAAA]Crafted in: Stove[-]"
foodSVETGDeepFriedTofu,,,[FFD700]Asylum Deep-Fried Tofu[-]
foodSVETGDeepFriedTofuDesc,,,[FFD700]Crispy fried tofu[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]golden exterior[-] hides [AA0000]soft interior[-] creating [00FF00]textural delight[-].\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGDough,,,[F5DEB3]Asylum Dough[-]
foodSVETGDoughDesc,,,[F5DEB3]Hand-kneaded dough[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]ancient flour[-] and [AA0000]mysterious ingredients[-] create [00FF00]perfect elasticity[-].\n\n[AAAAAA]Crafted in: Cutting Board[-]
foodSVETGDsNuts,,,[DEB887]Asylum Mixed Nuts[-]
foodSVETGDsNutsDesc,,,[DEB887]Crunchy mixed nuts[-] from the [8B0000]Asylum's pantry[-]. The [FFAA00]protein-rich snack[-] sustained [AA0000]patients[-] during [00FF00]long therapy sessions[-].\n\n[AAAAAA]Found: Looting[-]
foodSVETGEggFriedRice,,,[FFD700]Asylum Egg Fried Rice[-]
foodSVETGEggFriedRiceDesc,,,[FFD700]Savory fried rice[-] prepared in the [8B0000]Asylum's wok[-]. The [FFAA00]fluffy eggs[-] and [AA0000]seasoned rice[-] create [00FF00]Asian comfort[-] in familiar surroundings.\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGFishAndChips,,,[FFD700]Asylum Fish & Chips[-]
foodSVETGFishAndChipsDesc,,,[FFD700]Classic British meal[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]crispy batter[-] and [AA0000]golden chips[-] bring [00FF00]taste of the homeland[-] to distant shores.\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGFishSalmon,,,[FF6B6B]Asylum Salmon[-]
foodSVETGFishSalmonDesc,,,"A [FF6B6B]silvery fish[-] caught from the [8B0000]contaminated waters[-] near the Asylum. The [FFAA00]radiation[-] has given it an unusual [FF6B6B]pink glow[-], but it's still [00FF00]surprisingly nutritious[-].\n\n[AAAAAA]Crafted in: Cutting Board[-]"
foodSVETGFlourTortilla,,,[F5DEB3]Asylum Tortilla[-]
foodSVETGFlourTortillaDesc,,,"[F5DEB3]Soft, pliable tortilla[-] made in the [8B0000]Asylum's kitchen[-]. The [FFAA00]perfect texture[-] comes from [AA0000]generations of practice[-] by [00FF00]patient hands[-].\n\n[AAAAAA]Crafted in: Cutting Board[-]"
foodSVETGFrenchFries,,,[FFD700]Asylum French Fries[-]
foodSVETGFrenchFriesDesc,,,[FFD700]Golden potato fries[-] fried in the [8B0000]Asylum's kitchen[-]. The [FFAA00]crispy exterior[-] and [AA0000]fluffy interior[-] provide [00FF00]simple pleasure[-] in troubled times.\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGFullEnglish,,,[8B4513]Asylum Full English Breakfast[-]
foodSVETGFullEnglishDesc,,,"[8B4513]Hearty British breakfast[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]complete meal[-] with eggs, bacon, and beans brings [AA0000]taste of home[-] to [00FF00]homesick patients[-].\n\n[AAAAAA]Crafted in: Stove[-]"
foodSVETGGrilledChicken,,,[FFCCCC]Asylum Grilled Chicken[-]
foodSVETGGrilledChickenDesc,,,[FFCCCC]Perfectly grilled chicken[-] cooked in the [8B0000]Asylum's kitchen[-]. The [FFAA00]charred exterior[-] and [AA0000]juicy interior[-] create [00FF00]protein perfection[-].\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGGrilledPorkchop,,,[FFB6C1]Asylum Grilled Pork Chops[-]
foodSVETGGrilledPorkchopDesc,,,[FFB6C1]Tender pork chops[-] grilled in the [8B0000]Asylum's kitchen[-]. The [FFAA00]smoky char[-] and [AA0000]juicy meat[-] provide [00FF00]hearty sustenance[-] for hungry souls.\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGGrilledSalmon,,,[FF8C69]Asylum Grilled Salmon[-]
foodSVETGGrilledSalmonDesc,,,[FF8C69]Expertly grilled salmon[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]smoky flavor[-] and [AA0000]caramelized crust[-] showcase [00FF00]culinary mastery[-].\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGGrilledSausage,,,[8B4513]Asylum Grilled Sausage[-]
foodSVETGGrilledSausageDesc,,,[8B4513]Perfectly grilled sausage[-] cooked in the [8B0000]Asylum's kitchen[-]. The [FFAA00]smoky char[-] and [AA0000]juicy interior[-] create [00FF00]satisfying comfort[-].\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGJam,,,[8B0000]Asylum Berry Jam[-]
foodSVETGJamDesc,,,[8B0000]Sweet berry jam[-] preserved in the [8B0000]Asylum's kitchen[-]. The [FFAA00]fruity sweetness[-] brings [AA0000]childhood memories[-] to [00FF00]troubled minds[-].\n\n[AAAAAA]Crafted in: Cutting Board[-]
foodSVETGKoefte,,,[8B4513]Asylum Köfte[-]
foodSVETGKoefteDesc,,,[8B4513]Spiced meatballs[-] grilled in the [8B0000]Asylum's kitchen[-]. The [FFAA00]aromatic spices[-] and [AA0000]tender meat[-] carry [00FF00]tales of distant lands[-].\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGLasagna,,,[FF6347]Asylum Lasagna[-]
foodSVETGLasagnaDesc,,,"[FF6347]Layered pasta masterpiece[-] baked in the [8B0000]Asylum's oven[-]. The [FFAA00]rich layers[-] of meat, cheese, and [AA0000]secret sauce[-] create [00FF00]comfort beyond measure[-].\n\n[AAAAAA]Crafted in: Stove[-]"
foodSVETGMRE,,,[8B4513]Asylum MRE[-]
foodSVETGMREDesc,,,[8B4513]Military ration[-] stored in the [8B0000]Asylum's emergency supplies[-]. The [FFAA00]preserved meal[-] sustained [AA0000]security forces[-] during [00FF00]lockdown procedures[-].\n\n[AAAAAA]Found: Looting[-]
foodSVETGMapleSyrup,,,[8B4513]Asylum Maple Syrup[-]
foodSVETGMapleSyrupDesc,,,[8B4513]Pure maple syrup[-] tapped from trees near the [8B0000]Asylum grounds[-]. The [FFAA00]golden sweetness[-] carries [AA0000]memories of Canada[-] and [00FF00]northern forests[-].\n\n[AAAAAA]Found: Looting[-]
foodSVETGNachosAndSalsa,,,[FFD700]Asylum Nachos & Salsa[-]
foodSVETGNachosAndSalsaDesc,,,[FFD700]Crispy nachos[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]melted cheese[-] and [AA0000]zesty salsa[-] create [00FF00]Tex-Mex comfort[-].\n\n[AAAAAA]Crafted in: Cutting Board[-]
foodSVETGOliveOil,,,[FFD700]Asylum Olive Oil[-]
foodSVETGOliveOilDesc,,,[FFD700]Premium olive oil[-] pressed in the [8B0000]Asylum's kitchen[-]. The [FFAA00]golden liquid[-] carries [AA0000]Mediterranean memories[-] and [00FF00]culinary excellence[-].\n\n[AAAAAA]Crafted in: Cutting Board[-]
foodSVETGOnionSlices,,,[F5DEB3]Asylum Onion Slices[-]
foodSVETGOnionSlicesDesc,,,[F5DEB3]Thinly sliced onions[-] prepared in the [8B0000]Asylum's kitchen[-]. The [FFAA00]precise cuts[-] bring [AA0000]tears to your eyes[-] and [00FF00]flavor to dishes[-].\n\n[AAAAAA]Crafted in: Cutting Board[-]
foodSVETGPadThai,,,[FF8C69]Asylum Pad Thai[-]
foodSVETGPadThaiDesc,,,[FF8C69]Exotic noodle dish[-] stir-fried in the [8B0000]Asylum's kitchen[-]. The [FFAA00]tangy-sweet sauce[-] awakens [AA0000]distant memories[-] of [00FF00]Southeast Asian streets[-].\n\n[AAAAAA]Crafted in: Stove[-]
foodSVETGPancakesAndSyrup,,,[DEB887]Asylum Pancakes & Syrup[-]
